text,label
"What is this video about?",summary_request
"Can you summarize the video?",summary_request
"Give me an overview of the lecture",summary_request
"What are the main points covered?",summary_request
"Summarize what was discussed",summary_request
"What's the gist of this video?",summary_request
"Give me a brief recap",summary_request
"What were the key takeaways?",summary_request
"Can you give me a TL;DR?",summary_request
"What topics does this video cover?",summary_request
"What is the video mainly about?",summary_request
"Outline the main ideas for me",summary_request
"What's covered in this lecture?",summary_request
"Give me the key points",summary_request
"What does this talk cover overall?",summary_request
"Summarize the key ideas",summary_request
"What's the main message?",summary_request
"Briefly describe what this video is about",summary_request
"What were the highlights?",summary_request
"What did they talk about in this video?",summary_request
"Give me a quick rundown",summary_request
"What's covered in the first half?",summary_request
"Recap the whole lecture",summary_request
"What are the major themes?",summary_request
"What should I take away from this?",summary_request
"Can you do a quick summary?",summary_request
"What are the most important points?",summary_request
"What was discussed in the video?",summary_request
"Overview please",summary_request
"Give me a summary of everything covered",summary_request
"What does the speaker mainly talk about?",summary_request
"What are the main conclusions?",summary_request
"Recap the video for me",summary_request
"What's the big picture?",summary_request
"What does this video teach?",summary_request
"What is the speaker trying to say overall?",summary_request
"Can you condense the content for me?",summary_request
"What are the top 5 things covered?",summary_request
"What topics are introduced?",summary_request
"Can you give an overview of the content?",summary_request
"What does gradient descent mean?",definition_request
"Define backpropagation",definition_request
"What is a neural network?",definition_request
"Explain what an API is",definition_request
"What does overfitting mean in machine learning?",definition_request
"What is meant by the term epoch?",definition_request
"Can you explain the concept of recursion?",definition_request
"What does the speaker mean by bias?",definition_request
"Define the term regularization",definition_request
"What is a transformer in the context of this video?",definition_request
"What does RAG stand for?",definition_request
"Explain the idea of attention mechanism",definition_request
"What is meant by latent space?",definition_request
"What does the term embedding mean?",definition_request
"Define loss function",definition_request
"What does supervised learning mean?",definition_request
"What is a convolutional neural network?",definition_request
"Can you explain hyperparameters?",definition_request
"What's the difference between precision and recall?",definition_request
"What is entropy in this context?",definition_request
"Define the concept mentioned at the beginning",definition_request
"What does tokenization mean?",definition_request
"Explain what a vector is in this context",definition_request
"What is meant by the term inference?",definition_request
"What does fine-tuning mean?",definition_request
"What is zero-shot learning?",definition_request
"Define few-shot learning",definition_request
"What is the meaning of softmax?",definition_request
"Explain the concept of dropout",definition_request
"What is normalization in deep learning?",definition_request
"What does the speaker mean by hallucination?",definition_request
"What is a language model?",definition_request
"Define the term clustering",definition_request
"What is dimensionality reduction?",definition_request
"What does interpolation mean here?",definition_request
"Explain what a parameter is",definition_request
"What is the meaning of convergence?",definition_request
"Define stochastic gradient descent",definition_request
"What is an activation function?",definition_request
"Explain the idea of cross-entropy loss",definition_request
"What did the speaker say about memory usage?",factual_question
"When does the speaker explain the training loop?",factual_question
"What example did they give for classification?",factual_question
"What dataset was used in the demonstration?",factual_question
"How many layers does the model have?",factual_question
"What programming language did they use?",factual_question
"What was the accuracy achieved?",factual_question
"How does the speaker suggest handling missing data?",factual_question
"What library did they import at the beginning?",factual_question
"What step comes after preprocessing?",factual_question
"What does the speaker recommend for learning rate?",factual_question
"How long does training take according to the video?",factual_question
"What tools are mentioned for visualization?",factual_question
"What was the first thing the speaker built?",factual_question
"How many epochs were used in the example?",factual_question
"What error did they encounter and how did they fix it?",factual_question
"What are the steps in the pipeline?",factual_question
"What benchmark did they test against?",factual_question
"What hardware is required?",factual_question
"What version of the framework was used?",factual_question
"What did the speaker say at the 5 minute mark?",factual_question
"When does the speaker cover evaluation metrics?",factual_question
"What causes the model to underfit?",factual_question
"What data augmentation technique was used?",factual_question
"How does the speaker split the dataset?",factual_question
"What is the learning rate they recommend?",factual_question
"What architecture was used for image classification?",factual_question
"How did the model perform on the test set?",factual_question
"What are the steps to deploy the model?",factual_question
"What debugging tip did they share?",factual_question
"What problem is this model trying to solve?",factual_question
"What hyperparameters are tuned?",factual_question
"How does the code handle exceptions?",factual_question
"What loss function was used in the example?",factual_question
"What is the batch size in the training loop?",factual_question
"What does the speaker say about data quality?",factual_question
"What metric is used to evaluate performance?",factual_question
"How does the optimizer update weights?",factual_question
"What is the output of the model?",factual_question
"What transformation is applied to the input?",factual_question
"Which method is better for this use case?",opinion_request
"Do you think this approach is good?",opinion_request
"What are the pros and cons of this technique?",opinion_request
"Should I use this framework?",opinion_request
"Is this method better than the alternative?",opinion_request
"What would you recommend for a beginner?",opinion_request
"Is this approach still relevant today?",opinion_request
"Which library would you suggest?",opinion_request
"Is this the best way to handle it?",opinion_request
"What are the advantages of this over that?",opinion_request
"Would you recommend this course?",opinion_request
"Is this a good tutorial for beginners?",opinion_request
"What are the downsides of this approach?",opinion_request
"Which is faster — this or that method?",opinion_request
"Is this considered best practice?",opinion_request
"Should I follow this advice?",opinion_request
"Is the speaker's recommendation outdated?",opinion_request
"What's the best way to learn this topic?",opinion_request
"Would this technique work for my project?",opinion_request
"Do you agree with the speaker's approach?",opinion_request
"Is there a better alternative?",opinion_request
"Which approach is more scalable?",opinion_request
"Is this still a valid method in industry?",opinion_request
"What are the trade-offs here?",opinion_request
"Should I start with this or something simpler?",opinion_request
"What's the weather like today?",off_topic
"Can you write me a Python script?",off_topic
"Tell me a joke",off_topic
"What's the capital of France?",off_topic
"Help me write an email",off_topic
"What's the stock price of Apple?",off_topic
"Who won the World Cup?",off_topic
"Write a poem for me",off_topic
"What time is it?",off_topic
"Translate this to Spanish",off_topic
"What's 2 plus 2?",off_topic
"Can you recommend a movie?",off_topic
"What's the latest news?",off_topic
"Help me with my homework on history",off_topic
"What should I eat for dinner?",off_topic
"Who is Elon Musk?",off_topic
"Can you browse the internet?",off_topic
"Write me a cover letter",off_topic
"What's Bitcoin at right now?",off_topic
"Tell me about the French Revolution",off_topic
"Can you play music?",off_topic
"What's the best programming language to learn?",off_topic
"Help me debug my JavaScript",off_topic
"What's the recipe for pancakes?",off_topic
"Who is the current president?",off_topic
